code,name,branch,combination,amout_2016,score_2016,amount_2017
LPH,Đại học Luật Hà Nội,Luật,A00,1480,23.25,1480
LPH,Đại học Luật Hà Nội,Luật,C00,1480,26.25,1480
LPH,Đại học Luật Hà Nội,Luật,D01,1480,21.75,1480
LPH,Đại học Luật Hà Nội,Luật Kinh tế,A00,300,25.25,300
LPH,Đại học Luật Hà Nội,Luật Kinh tế,C00,300,28,300
LPH,Đại học Luật Hà Nội,Luật Kinh tế,D01,300,23.75,300
LPH,Đại học Luật Hà Nội,Luật Thương mại Quốc tế,D01,120,31.25,120
LPH,Đại học Luật Hà Nội,Ngôn ngữ Anh,D01,120,29.25,100
KTA,Đại học Kiến trúc Hà Nội,Cấp thoát nước,A00,150,16,300
KTA,Đại học Kiến trúc Hà Nội,Thiết kế đồ họa,H00,50,19.25,50
KTA,Đại học Kiến trúc Hà Nội,Thiết kế nội thất,H00,100,17.75,100
KTA,Đại học Kiến trúc Hà Nội,Công nghệ kỹ thuật vật liệu xây dựng,A00,50,16.25,100
KTA,Đại học Kiến trúc Hà Nội,Kiến trúc,V00,350,25.75,350
KTA,Đại học Kiến trúc Hà Nội,Quy hoạch vùng và đô thị,V00,150,23.75,150
KTA,Đại học Kiến trúc Hà Nội,Kiến trúc cảnh quan,V00,50,23,50
KTA,Đại học Kiến trúc Hà Nội,Xây dựng dân dụng và công nghiệp,A00,450,20.25,450
KTA,Đại học Kiến trúc Hà Nội,Xây dựng công trình ngầm đô thị,A00,50,19.75,100
KTA,Đại học Kiến trúc Hà Nội,Kỹ thuật hạ tầng đô thị,A00,100,18.75,300
KTA,Đại học Kiến trúc Hà Nội,Kỹ thuật môi trường đô thị,A00,50,16,300
KTA,Đại học Kiến trúc Hà Nội,Kinh tế xây dựng,A00,150,20.25,200
KTA,Đại học Kiến trúc Hà Nội,Quản lý xây dựng,A00,150,16.25,100
GHA,Đại học Giao thông Vận tải,Kỹ thuật xây dựng công trình giao thông,A00,888,20.16,888
GHA,Đại học Giao thông Vận tải,Kỹ thuật xây dựng công trình giao thông,A01,297,16.95,297
GHA,Đại học Giao thông Vận tải,Công nghệ thông tin,A00,150,22.5,150
GHA,Đại học Giao thông Vận tải,Công nghệ thông tin,A01,50,21.09,50
GHA,Đại học Giao thông Vận tải,Kỹ thuật cơ khí,A00,428,20.91,428
GHA,Đại học Giao thông Vận tải,Kỹ thuật cơ khí,A01,142,18.24,142
GHA,Đại học Giao thông Vận tải,"Kỹ thuật điện tử, truyền thông",A00,94,21.3,94
GHA,Đại học Giao thông Vận tải,"Kỹ thuật điện tử, truyền thông",A01,31,19.14,31
GHA,Đại học Giao thông Vận tải,Kỹ thuật điện điện tử,A00,94,21.99,94
GHA,Đại học Giao thông Vận tải,Kỹ thuật điện điện tử,A01,31,19.86,31
GHA,Đại học Giao thông Vận tải,Kỹ thuật điều khiển và tự động hóa,A00,90,22.71,90
GHA,Đại học Giao thông Vận tải,Kỹ thuật điều khiển và tự động hóa,A01,30,20.88,30
GHA,Đại học Giao thông Vận tải,Quản trị kinh doanh,A00,83,20.49,83
GHA,Đại học Giao thông Vận tải,Quản trị kinh doanh,A01,27,19.92,27
GHA,Đại học Giao thông Vận tải,Kinh tế,A00,45,21.39,45
GHA,Đại học Giao thông Vận tải,Kinh tế,A01,15,20.22,15
GHA,Đại học Giao thông Vận tải,Kinh tế xây dựng,A00,60,21.9,60
GHA,Đại học Giao thông Vận tải,Kinh tế xây dựng,A01,20,20.64,20
GHA,Đại học Giao thông Vận tải,Kế toán,A00,71,21.6,71
GHA,Đại học Giao thông Vận tải,Kế toán,A01,24,20.52,24
GHA,Đại học Giao thông Vận tải,Khai thác vận tải,A00,90,19.59,90
GHA,Đại học Giao thông Vận tải,Khai thác vận tải,A01,30,17.88,30
GHA,Đại học Giao thông Vận tải,Kinh tế vận tải,A00,90,20.4,90
GHA,Đại học Giao thông Vận tải,Kinh tế vận tải,A01,30,19.74,30
GHA,Đại học Giao thông Vận tải,Kỹ thuật môi trường,A00,38,19.8,38
GHA,Đại học Giao thông Vận tải,Kỹ thuật môi trường,A01,12,18.21,12
GHA,Đại học Giao thông Vận tải,Công nghệ kỹ thuật giao thông,A00,38,20.01,38
GHA,Đại học Giao thông Vận tải,Công nghệ kỹ thuật giao thông,A01,12,17.85,12
GHA,Đại học Giao thông Vận tải,Kỹ thuật xây dựng,A00,180,19.86,180
GHA,Đại học Giao thông Vận tải,Kỹ thuật xây dựng,A01,60,17.04,60
DHA,Đại học Luật - Đại học Huế,Luật,"A00, A01, C00, D01",550,20.5,650
DHA,Đại học Luật - Đại học Huế,Luật kinh tế,"A00, A01, C00, D01",350,20.5,400
DHC,Khoa Giáo dục Thể chất - Đại học Huế,Giáo dục thể chất,T00,160,16.5,100
DHD,Khoa Du lịch - Đại học Huế,Kinh tế,"A00, A01, D01, D10",50,17,50
DHD,Khoa Du lịch - Đại học Huế,Quản trị kinh doanh,"A00, A01, D01, D10",200,17,200
DHD,Khoa Du lịch - Đại học Huế,Quản trị dịch vụ du lịch và lữ hành,"A00, A01, C00, D10",300,18,350
DHF,Đại học Ngoại ngữ - Đại học Huế,Sư phạm tiếng Anh,D01,100,23.5,80
DHF,Đại học Ngoại ngữ - Đại học Huế,Sư phạm tiếng Pháp,"D03, D01",30,20,30
DHF,Đại học Ngoại ngữ - Đại học Huế,Sư phạm tiếng Trung Quốc,"D04, D01",30,21.25,30
DHF,Đại học Ngoại ngữ - Đại học Huế,Việt Nam học,D01,50,18,50
DHF,Đại học Ngoại ngữ - Đại học Huế,Ngôn ngữ Anh,D01,540,20.5,550
DHF,Đại học Ngoại ngữ - Đại học Huế,Ngôn ngữ Nga,"D02,.D01",40,20,30
DHF,Đại học Ngoại ngữ - Đại học Huế,Ngôn ngữ Pháp,"D03, D01",50,20.5,50
DHF,Đại học Ngoại ngữ - Đại học Huế,Ngôn ngữ Trung Quốc,"D04, D01",160,21.5,200
DHF,Đại học Ngoại ngữ - Đại học Huế,Ngôn ngữ Nhật,"D06, D01",180,23.75,200
DHF,Đại học Ngoại ngữ - Đại học Huế,Ngôn ngữ Hàn Quốc,D01,70,24.25,100
DHF,Đại học Ngoại ngữ - Đại học Huế,Quốc tế học,D01,50,20,50
DHK,Đại học Kinh tế - Đại học Huế,Kinh tế,"A00, A01, D01, C01",280,19,280
DHK,Đại học Kinh tế - Đại học Huế,Marketing,"A00, A01, D01, C01",80,20,80
DHK,Đại học Kinh tế - Đại học Huế,Kinh doanh thương mại,"A00, A01, D01, C01",170,19,170
DHK,Đại học Kinh tế - Đại học Huế,Tài chính - Ngân hàng,"A00, A01, D01, D03",150,19,150
DHK,Đại học Kinh tế - Đại học Huế,Kế toán,"A00, A01, D01, C01",170,20,170
DHK,Đại học Kinh tế - Đại học Huế,Kiểm toán,"A00, A01, D01, C01",160,20,160
DHK,Đại học Kinh tế - Đại học Huế,Quản trị nhân lực,"A00, A01, D01, C01",70,19,70
DHK,Đại học Kinh tế - Đại học Huế,Hệ thống thông tin quản lý,"A00, A01, D01, C01",150,18,150
DHK,Đại học Kinh tế - Đại học Huế,Kinh doanh nông nghiệp,"A00, A01, D01, C01",50,16,50
DHK,Đại học Kinh tế - Đại học Huế,Kinh tế nông nghiệp,"A00, A01, D01, C01",150,17,150
DHK,Đại học Kinh tế - Đại học Huế,Tài chính - Ngân hàng (liên kết),"A00, A01, D01, D03",50,16,50
DHL,Đại học Nông lâm - Đại học Huế,Công nghệ kỹ thuật cơ khí,"A00, A01",60,18,70
DHL,Đại học Nông lâm - Đại học Huế,Kỹ thuật cơ - điện tử,"A00, A01",50,18,80
DHL,Đại học Nông lâm - Đại học Huế,Kỹ thuật cơ sở hạ tầng,"A00, A01",50,16,50
DHL,Đại học Nông lâm - Đại học Huế,Công nghệ thực phẩm,"A00, B00",150,20,190
DHL,Đại học Nông lâm - Đại học Huế,Công nghệ sau thu hoạch,"A00, B00",50,17,50
DHL,Đại học Nông lâm - Đại học Huế,Quản lý đất đai,"A00, B00",250,16,200
DHL,Đại học Nông lâm - Đại học Huế,Khoa học đất,"A00, B00",30,15,30
DHL,Đại học Nông lâm - Đại học Huế,Nông học,"A00, B00",50,17,60
DHL,Đại học Nông lâm - Đại học Huế,Bảo vệ thực vật,"A00, B00",100,16,100
DHL,Đại học Nông lâm - Đại học Huế,Khoa học cây trồng,"A00, B00",150,16,140
DHL,Đại học Nông lâm - Đại học Huế,Công nghệ rau hoa quả và cảnh quan,"A00, B00",50,15,50
DHL,Đại học Nông lâm - Đại học Huế,Chăn nuôi,"A00, B00",160,19,270
DHL,Đại học Nông lâm - Đại học Huế,Thú y,"A00, B00",200,20.25,230
DHL,Đại học Nông lâm - Đại học Huế,Nuôi trồng thủy sản,"A00, B00",220,17,200
DHL,Đại học Nông lâm - Đại học Huế,Quản lý nguồn lợi thủy sản,"A00, B00",50,15,50
DHL,Đại học Nông lâm - Đại học Huế,Công nghệ chế biến lâm sản,"A00, A01",45,15,30
DHL,Đại học Nông lâm - Đại học Huế,Lâm nghiệp,"A00, B00",100,15,100
DHL,Đại học Nông lâm - Đại học Huế,Lâm nghiệp đô thị,"A00, B00",45,15,30
DHL,Đại học Nông lâm - Đại học Huế,Quản lý tài nguyên rừng,"A00, B00",100,15,70
DHL,Đại học Nông lâm - Đại học Huế,Khuyến nông,"A00, B00",50,15,50
DHN,Đại học Nghệ thuật - Đại học Huế,Sư phạm Mỹ thuật,H00,30,32.5,15
DHN,Đại học Nghệ thuật - Đại học Huế,Hội họa,H00,20,33,10
DHN,Đại học Nghệ thuật - Đại học Huế,Thiết kế đồ họa,H00,60,24.75,40
DHN,Đại học Nghệ thuật - Đại học Huế,Thiết kế thời trang,H00,25,27.25,20
DHN,Đại học Nghệ thuật - Đại học Huế,Thiết kế nội thất,H00,60,26.75,40
DHQ,Phân hiệu Đại học Huế tại Quảng Trị,Công nghệ kỹ thuật môi trường,"A00, A01, B00, D07",50,15,60
DHQ,Phân hiệu Đại học Huế tại Quảng Trị,Kỹ thuật công trình xây dựng,"A00, A01, D07",50,15,60
DHQ,Phân hiệu Đại học Huế tại Quảng Trị,"Kỹ thuật điện, điện tử","A00, A01, D07",50,15,60
DHS,Đại học Sư phạm - Đại học Huế,Sư phạm Toán học,"A00, A01",150,26,140
DHS,Đại học Sư phạm - Đại học Huế,Sư phạm Tin học,"A00, A01",90,18,100
DHS,Đại học Sư phạm - Đại học Huế,Sư phạm Vật lý,"A00, A01",120,18,120
DHS,Đại học Sư phạm - Đại học Huế,Sư phạm Kỹ thuật công nghiệp,"A00, A01",30,15,30
DHS,Đại học Sư phạm - Đại học Huế,Sư phạm Hóa học,"A00, B00, D07",120,24,120
DHS,Đại học Sư phạm - Đại học Huế,Sư phạm Sinh học,"B00, D08",120,18,120
DHS,Đại học Sư phạm - Đại học Huế,Giáo dục chính trị,"C00,D01, D14",50,15,80
DHS,Đại học Sư phạm - Đại học Huế,Sư phạm Ngữ văn,"C00, D14",200,21,200
DHS,Đại học Sư phạm - Đại học Huế,Sư phạm Lịch sử,"C00, D14",150,18,140
DHS,Đại học Sư phạm - Đại học Huế,Sư phạm Địa lý,"B00, C00, D15, D10",150,15,140
DHS,Đại học Sư phạm - Đại học Huế,Tâm lý học giáo dục,"C00, D13, D01, D08",50,15,50
DHS,Đại học Sư phạm - Đại học Huế,Giáo dục Tiểu học,"C00, D01",160,20.25,150
DHS,Đại học Sư phạm - Đại học Huế,Giáo dục Mầm non,"M00, M01",160,17.25,160
DHS,Đại học Sư phạm - Đại học Huế,Vật lý (chương trình tiên tiến),"A00, A01",30,18,30
DHT,Đại học Khoa học - Đại học Huế,Triết học,"A00, C00, D01",60,15,60
DHT,Đại học Khoa học - Đại học Huế,Lịch sử,"C00, D01, D14",100,15,100
DHT,Đại học Khoa học - Đại học Huế,Xã hội học,"C00, D01, D14",60,15,60
DHT,Đại học Khoa học - Đại học Huế,Báo chí,"C00, D01, D14",180,17,180
DHT,Đại học Khoa học - Đại học Huế,Sinh học,"A00, B00, D08",80,15,80
DHT,Đại học Khoa học - Đại học Huế,Công nghệ sinh học,"A00, B00, D08",100,17,100
DHT,Đại học Khoa học - Đại học Huế,Vật lý học,"A00, A01",70,15,70
DHT,Đại học Khoa học - Đại học Huế,Hóa học,"A00, B00, D07",100,15,100
DHT,Đại học Khoa học - Đại học Huế,Địa lý tự nhiên,"A00, B00, D10",60,15,60
DHT,Đại học Khoa học - Đại học Huế,Khoa học môi trường,"A00, B00, D07",100,15,100
DHT,Đại học Khoa học - Đại học Huế,Công nghệ thông tin,"A00, A01",250,24.5,250
DHT,Đại học Khoa học - Đại học Huế,Kiến trúc,"V00, V01",150,20,150
DHT,Đại học Khoa học - Đại học Huế,Công tác xã hội,"C00, D01, D14",150,15.5,150
DHT,Đại học Khoa học - Đại học Huế,Quản lý tài nguyên và môi trường,"A00, B00, D08",100,16,100
DHT,Đại học Khoa học - Đại học Huế,Hán - Nôm,"C00, D01, D14",30,15,30
DHT,Đại học Khoa học - Đại học Huế,Ngôn ngữ học,"C00, D01, D14",40,15,40
DHT,Đại học Khoa học - Đại học Huế,Văn học,"C00, D14",130,15,120
DHT,Đại học Khoa học - Đại học Huế,Toán học,"A00, A01",60,18,50
DHT,Đại học Khoa học - Đại học Huế,Toán ứng dụng,"A00, 101",60,18,60
DHT,Đại học Khoa học - Đại học Huế,Kỹ thuật địa chất,"A00, D07",100,15,100
DHT,Đại học Khoa học - Đại học Huế,Kỹ thuật trắc địa - Bản đồ,"A00, A01",45,15,45
DHT,Đại học Khoa học - Đại học Huế,Địa chất học,"A00, D07",45,15,45
DHY,Đại học Y Dược - Đại học Huế,Y đa khoa,B00,550,26,500
DHY,Đại học Y Dược - Đại học Huế,Răng - Hàm - Mặt,B00,100,25.75,100
DHY,Đại học Y Dược - Đại học Huế,Y học dự phòng,B00,180,22.75,160
DHY,Đại học Y Dược - Đại học Huế,Y học cổ truyền,B00,80,24.5,80
DHY,Đại học Y Dược - Đại học Huế,Dược học,A00,180,25.5,180
DHY,Đại học Y Dược - Đại học Huế,Điều dưỡng,B00,150,22.5,200
DHY,Đại học Y Dược - Đại học Huế,Kỹ thuật hình ảnh y học,B00,60,23.25,80
DHY,Đại học Y Dược - Đại học Huế,Xét nghiệm y học,B00,100,23.25,100
DHY,Đại học Y Dược - Đại học Huế,Y tế công cộng,B00,100,21,100
HVN,Học viện Nông nghiệp Việt Nam,Bảo vệ thực vật,"A00, A01, B00, D01",220,15,150
HVN,Học viện Nông nghiệp Việt Nam,Chăn nuôi,"A00, A01, B00, D01",420,18.25,500
HVN,Học viện Nông nghiệp Việt Nam,Công nghệ rau - hoa - quả và cảnh quan,"A00, A01, B00, D01",65,18.5,100
HVN,Học viện Nông nghiệp Việt Nam,Công nghệ sau thu hoạch,"A00, A01, B00, D01",65,15,120
HVN,Học viện Nông nghiệp Việt Nam,Công nghệ sinh học,"A00, A01, B00, D01",285,20.5,320
HVN,Học viện Nông nghiệp Việt Nam,Công nghệ thông tin,"A00, A01, D01, C01",145,17,180
HVN,Học viện Nông nghiệp Việt Nam,Công nghệ thực phẩm,"A00, A01, B00, D01",245,21.25,320
HVN,Học viện Nông nghiệp Việt Nam,Công thôn,"A00, A01, D01, C01",35,15,30
HVN,Học viện Nông nghiệp Việt Nam,Kế toán,"A00, A01, D01, C01",220,18,400
HVN,Học viện Nông nghiệp Việt Nam,Khoa học đất,"A00, A01, B00, D01",45,15,30
HVN,Học viện Nông nghiệp Việt Nam,Khoa học môi trường,"A00, A01, B00, D01",395,16,320
HVN,Học viện Nông nghiệp Việt Nam,Kinh doanh nông nghiệp,"A00, A01, B00, D01",40,15,30
HVN,Học viện Nông nghiệp Việt Nam,Kinh tế,"A00, A01, B00, D01",385,15.5,400
HVN,Học viện Nông nghiệp Việt Nam,Kỹ thuật cơ khí,"A00, A01, D01, C01",170,15,140
HVN,Học viện Nông nghiệp Việt Nam,"Kỹ thuật điện, điện tử","A00, A01, D01, C01",170,15,200
DNV,Đại học Nội vụ Hà Nội,Quản trị nhân lực,"D01, C00,A01, A00",260,17,290
DNV,Đại học Nội vụ Hà Nội,Quản trị nhân lực,C00,260,23.5,290
DNV,Đại học Nội vụ Hà Nội,Quản trị văn phòng,"D01, A01,A00",240,17,285
DNV,Đại học Nội vụ Hà Nội,Quản trị văn phòng,C00,240,21.5,285
DNV,Đại học Nội vụ Hà Nội,Quản lí nhà nước,"D01, A01,A00",260,17,200
DNV,Đại học Nội vụ Hà Nội,Quản lí nhà nước,C00,260,21.5,200
DNV,Đại học Nội vụ Hà Nội,Quản lí văn hóa,"D01, A01",140,16,105
DNV,Đại học Nội vụ Hà Nội,Quản lí văn hóa,"C00, C03",140,19.5,105
DNV,Đại học Nội vụ Hà Nội,Lưu trữ học,"D01, A01",180,16,110
DNV,Đại học Nội vụ Hà Nội,Lưu trữ học,C00,180,19,110
DNV,Đại học Nội vụ Hà Nội,Khoa học thư viện,"D01, A01",120,16,50
DNV,Đại học Nội vụ Hà Nội,Khoa học thư viện,"C00, C03",120,18,50
DDL,Đại học Điện lực,Quản trị doanh nghiệp,"A00, A01, D01, D07",70,17,60
DDL,Đại học Điện lực,Quản trị doanh nghiệp chât lượng Cao,"A00, A01,D01, D07",40,15,30
DDL,Đại học Điện lực,Tài chính ngân hàng,"D01, D07",50,17,60
DDL,Đại học Điện lực,Tài chính ngân hàng chất lượng cao,"A00, A01, D01, D07",40,15,30
DDL,Đại học Điện lực,Kế toán doanh nghiệp,"A00, A01, D01, D07",100,18,150
DDL,Đại học Điện lực,Kế toán tài chính và kiểm soát,"A00, A01, D01, D07",50,16.5,60
DDL,Đại học Điện lực,Kế toán doanh nghiệp chất lượng cao,"A00, A01,D01, D07",40,16,30
DDL,Đại học Điện lực,Công nghệ phần mềm,"A00, A01, D01, D07",55,18.5,100
DDL,Đại học Điện lực,Thương mại điện tử,"A00, A01,D01, D07",35,17.75,50
DDL,Đại học Điện lực,Quản lý dự án và công trình điện,"A00, A01, D07",35,15,30
DDL,Đại học Điện lực,Công nghệ chế tạo máy,"A00, A01, D07",40,18,60
DDL,Đại học Điện lực,Hệ thống điện,"A00, A01,D07",140,17.75,200
DDL,Đại học Điện lực,Nhiệt điện,"A00, A01,D07",50,15.75,50
DDL,Đại học Điện lực,Điện lạnh,"A00, A01,D07",35,19.25,100
DDL,Đại học Điện lực,Điện công nghiệp và dân dụng,"A00, A01, D07",70,19.5,40
DDL,Đại học Điện lực,Công nghệ chế tạo thiết bị điện,"A00, A01, D07",35,17,40
DDL,Đại học Điện lực,Năng lượng tái tạo,"A00, A01,D07",35,15,30
DDL,Đại học Điện lực,Hệ thống điện Chất lượng cao,"A00, A01, D07",40,15,40
DDL,Đại học Điện lực,Điện công nghiệp và dân dụng chất lượng cao,"A00, A01,D07",40,18,100
DDL,Đại học Điện lực,Điện tử viễn thông,"A00, A01,D07",80,17.5,100
DDL,Đại học Điện lực,Kỹ thuật điện tử,"A00, A01,D07",40,19.25,100
DDL,Đại học Điện lực,Thiết bị điện tử y tế,"A00, A01,D07",40,15.75,30
DDL,Đại học Điện lực,Công nghệ tự động,"A00, A01,D07",80,18.25,100
DDL,Đại học Điện lực,Tự động hóa và điều khiển thiết bị điện công nghiệp,"A00, A01, D07",55,20.25,80
SPH,Đại học Sư phạm Hà Nội,Quản lí giáo dục,A00,10,21.5,10
SPH,Đại học Sư phạm Hà Nội,Quản lí giáo dục,C00,15,22.25,15
SPH,Đại học Sư phạm Hà Nội,Giáo dục tiểu học SP Tiếng Anh,D01,40,22.75,40
SPH,Đại học Sư phạm Hà Nội,Giáo dục đặc biệt,B03,12,18.75,12
SPH,Đại học Sư phạm Hà Nội,Giáo dục đặc biệt,C00,20,22.5,20
SPH,Đại học Sư phạm Hà Nội,Giáo dục công dân,C00,17,21,17
SPH,Đại học Sư phạm Hà Nội,Giáo dục công dân,C03,17,19.25,17
SPH,Đại học Sư phạm Hà Nội,Giáo dục công dân,C04,18,18.75,18
SPH,Đại học Sư phạm Hà Nội,Giáo dục chính trị,C00,25,21.25,25
SPH,Đại học Sư phạm Hà Nội,Giáo dục chính trị,C03,25,18.25,25
SPH,Đại học Sư phạm Hà Nội,Giáo dục chính trị,C04,25,18.75,25
SPH,Đại học Sư phạm Hà Nội,Giáo dục thể chất,T00,70,25.5,70
SPH,Đại học Sư phạm Hà Nội,SP Tin học,A00,25,18.25,25
SPH,Đại học Sư phạm Hà Nội,SP Tin học,A01,15,18.75,15
SPH,Đại học Sư phạm Hà Nội,Toán học,A00,20,20.75,20
SPH,Đại học Sư phạm Hà Nội,Toán học,A01,10,20.5,10
SPH,Đại học Sư phạm Hà Nội,Toán học,D01,10,20.75,10
SPH,Đại học Sư phạm Hà Nội,Công nghệ thông tin,A00,50,16.75,50
SPH,Đại học Sư phạm Hà Nội,Công nghệ thông tin,A01,30,18.25,30
SPH,Đại học Sư phạm Hà Nội,Văn học,C00,20,23.25,20
SPH,Đại học Sư phạm Hà Nội,Văn học,C03,5,21.5,5
SPH,Đại học Sư phạm Hà Nội,Văn học,C04,5,22.5,5
SPH,Đại học Sư phạm Hà Nội,Công tác xã hội,C00,30,18,30
SPH,Đại học Sư phạm Hà Nội,Công tác xã hội,D14,20,16.5,20
SPH,Đại học Sư phạm Hà Nội,Công tác xã hội,D00,50,18.25,50
DTS,Đại học Sư phạm Thái Nguyên,Giáo dục học,"C00, D01, B03",60,15,50
DTS,Đại học Sư phạm Thái Nguyên,Giáo dục mầm non,M00,150,22.5,160
DTS,Đại học Sư phạm Thái Nguyên,Giáo dục Tiểu học,"D01, C010, C02",120,17,140
DTS,Đại học Sư phạm Thái Nguyên,Giáo dục Chính trị,"D01, C00, C03, C04",70,15,50
DTS,Đại học Sư phạm Thái Nguyên,Giáo dục Thể chất,T00,100,15,40
DTS,Đại học Sư phạm Thái Nguyên,Sư phạm Toán học,"A00, A01",200,20.5,180
DTS,Đại học Sư phạm Thái Nguyên,Sư phạm Tin học,"A00, A01",60,15,40
DTS,Đại học Sư phạm Thái Nguyên,Sư phạm Vật lý,"A00, A01, C01",80,17,60
DTS,Đại học Sư phạm Thái Nguyên,Sư phạm Hóa học,"A00,D07",120,16,80
DTS,Đại học Sư phạm Thái Nguyên,Sư phạm Sinh học,"A00, D07, B00, D08",120,16,60
DTS,Đại học Sư phạm Thái Nguyên,Sư phạm Ngữ văn,"C00, D14, D01",180,20.5,160
DTS,Đại học Sư phạm Thái Nguyên,Sư phạm Lịch Sử,C00,100,17,50
YCT,Đại học Y dược Cần Thơ,Y tế công cộng,B00,40,21.25,40
YCT,Đại học Y dược Cần Thơ,Xét nghiệm y học,B00,80,23.25,80
YCT,Đại học Y dược Cần Thơ,Điều dưỡng đa khoa,B00,80,22.25,80
SPS,Đại học Sư phạm TP HCM,SP Toán học,A00,150,33,150
SPS,Đại học Sư phạm TP HCM,SP Toán học,A01,150,33,150
SPS,Đại học Sư phạm TP HCM,SP Tin học,"A00, A01",90,19,90
SPS,Đại học Sư phạm TP HCM,SP Vật lý,"A00, A01",100,31.5,100
SPS,Đại học Sư phạm TP HCM,SP Vật lý,C01,100,31.5,100
SPS,Đại học Sư phạm TP HCM,SP hóa học,A00,80,31,80
SPS,Đại học Sư phạm TP HCM,SP Sinh học,B00,80,28,80
SPS,Đại học Sư phạm TP HCM,SP Sinh học,D08,80,28,80
SPS,Đại học Sư phạm TP HCM,SP Ngữ văn,"C00, D01",120,30.5,120
SPS,Đại học Sư phạm TP HCM,SP Ngữ văn,"C03, C04",120,30.5,120
SPS,Đại học Sư phạm TP HCM,SP Lịch sử,C00,90,26,80
SPS,Đại học Sư phạm TP HCM,SP Lịch sử,D14,90,26,80
SPS,Đại học Sư phạm TP HCM,SP Địa lý,C00,90,29,90
SPS,Đại học Sư phạm TP HCM,SP Địa lý,"C04, D15, D10",90,29,90
SPS,Đại học Sư phạm TP HCM,GD Chính trị,"C00, A01",80,18.5,80
SPS,Đại học Sư phạm TP HCM,GD Chính trị,"C03, C04",80,18.5,80
HQT,Học viện Ngoại giao Việt Nam,Quan hệ quốc tế,"D1, A1",90,24.25,90
HQT,Học viện Ngoại giao Việt Nam,Quan hệ quốc tế,D3,90,24.25,90
HQT,Học viện Ngoại giao Việt Nam,Kinh tế quốc tế,"A1, D1",90,24.25,90
HQT,Học viện Ngoại giao Việt Nam,Kinh tế quốc tế,A00,90,25,90
HQT,Học viện Ngoại giao Việt Nam,Luật quốc tế,"D1, A1",90,23.75,90
HQT,Học viện Ngoại giao Việt Nam,Truyền thông quốc tế,"D1, A1",90,24.5,90
HQT,Học viện Ngoại giao Việt Nam,Truyền thông quốc tế,D3,90,24.5,90
HQT,Học viện Ngoại giao Việt Nam,Ngôn ngữ Anh,D1,90,32,90
QSQ,Đại học Quốc tế - Đại học Quốc gia TP HCM,Công nghệ Sinh học,"A00, A01, B00",150,20.5,150
QSQ,Đại học Quốc tế - Đại học Quốc gia TP HCM,Công nghệ thông tin,"A00, A01",100,20.75,100
QSQ,Đại học Quốc tế - Đại học Quốc gia TP HCM,Công nghệ thực phẩm,"A00, A01, B00",75,20,75
QSQ,Đại học Quốc tế - Đại học Quốc gia TP HCM,Hóa sinh,"A00, A01, B00",55,21,55
QSQ,Đại học Quốc tế - Đại học Quốc gia TP HCM,"Kỹ thuật điện tử, truyền thông","A00, A01",55,19.25,55
QSQ,Đại học Quốc tế - Đại học Quốc gia TP HCM,Kỹ thuật điều khiển & Tự động hóa,"A00, A01",45,19.75,45
